nose_dist,neck_dist,tail_dist,min_pairwise_dist,b_body_len,w_body_len,b_facing_toward_w,w_facing_toward_b,b_nose_speed,w_nose_speed,nose_approach_velocity,relative_dist_change,nose_dist_roll5_mean,nose_dist_roll5_min,nose_dist_roll5_std,approach_in_window,y_true,y_pred,y_proba_close,frame_idx,filename
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,675,frame_000675.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,676,frame_000676.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,677,frame_000677.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,678,frame_000678.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,679,frame_000679.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,680,frame_000680.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,681,frame_000681.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,682,frame_000682.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,683,frame_000683.jpg
,848.1868748472488,732.7102343544133,732.7102343544133,,253.68651377865743,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.027360496237673504,684,frame_000684.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,685,frame_000685.jpg
,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.002432783282845945,686,frame_000686.jpg
,,,,604.4060193397675,,,,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0.0010978366276714526,687,frame_000687.jpg
416.40032192042986,564.2122664944021,,416.40032192042986,188.5042110613289,,,,604.5123850166823,0.0,0.0,0.0,416.40032192042986,416.40032192042986,0.0,0,0,0,0.00010198384534865389,688,frame_000688.jpg
,,,,,,,,0.0,0.0,0.0,0.0,416.40032192042986,416.40032192042986,0.0,0,0,0,0.000526869394241404,689,frame_000689.jpg
,,,,,422.8959660136133,,,0.0,0.0,0.0,0.0,416.40032192042986,416.40032192042986,0.0,0,0,0,0.0003424761671854784,690,frame_000690.jpg
,,,,,,,,0.0,0.0,0.0,0.0,416.40032192042986,416.40032192042986,0.0,0,0,0,0.000526869394241404,691,frame_000691.jpg
,,,,,,,,0.0,0.0,0.0,0.0,416.40032192042986,416.40032192042986,0.0,0,0,0,0.000526869394241404,692,frame_000692.jpg
567.9100135797349,609.0690475211217,640.2869274031292,567.9100135797349,194.9695940315233,0.0,0.3754604755077917,0.8451609440797688,0.0,0.0,0.0,0.0,567.9100135797349,567.9100135797349,0.0,0,0,0,4.271508063630913e-05,693,frame_000693.jpg
,,,,219.07085893838112,,,,323.8925875340656,0.0,0.0,0.0,567.9100135797349,567.9100135797349,0.0,0,0,0,9.846192441740136e-05,694,frame_000694.jpg
,,,,,442.0801787702528,,,0.0,0.0,0.0,0.0,567.9100135797349,567.9100135797349,0.0,0,0,0,0.00014734679111885263,695,frame_000695.jpg
,,,,,,,,0.0,0.0,0.0,0.0,567.9100135797349,567.9100135797349,0.0,0,0,0,0.00027982663674581596,696,frame_000696.jpg
,,,,,,,,0.0,0.0,0.0,0.0,567.9100135797349,567.9100135797349,0.0,0,0,0,0.00027982663674581596,697,frame_000697.jpg
